"﻿AirportID";"Name";"City";"Country";"IATA";"ICAO";"Latitude";"Longitude";"Altitude"
9902;"Warrnambool Airport";"Warrnambool";"Australia";"WMB";"YWBL";-38.2953;142.447;242
9904;"Richmond Airport";"Richmond";"Australia";"RCM";"YRMD";-20.7019;143.115;676
9905;"RAAF Base Curtin";"Derby";"Australia";"DCN";"YCIN";-17.5814;123.828;300
9935;"Kualanamu International Airport";"Medan";"Indonesia";"KNO";"WIMM";3.64222;98.8853;23
9937;"Gratiot Community Airport";"Kamloops";"Canada";"\N";"KAMN";43.3221;-84.688;754
9938;"Asheboro Regional Airport";"Asheboro";"United States";"HBI";"KHBI";35.6545;-79.8947;671
9939;"Seosan Air Base";"Seosan";"South Korea";"\N";"RKTP";36.704;126.486;39
9942;"Henderson Field";"Wallace";"United States";"\N";"KACZ";34.7179;-78.0036;39
9943;"Emporia Greensville Regional Airport";"Emporia";"United States";"EMV";"KEMV";36.6869;-77.4828;127
10017;"El Monte Airport";"El Monte";"United States";"EMT";"KEMT";34.0861;-118.035;296
10057;"Farah Airport";"Farah";"Afghanistan";"FAH";"OAFR";32.367;62.183;3083
10061;"Pasighat Airport";"Pasighat";"India";"IXT";"VEPG";28.0661;95.3356;477
10062;"Kee Field";"Pineville";"United States";"I16";"KI16";37.6004;-81.5593;1783
10069;"Kramatorsk Airport";"Kramatorsk";"Ukraine";"KRQ";"UKCK";48.7056;37.6289;646
10080;"Kautokeino Air Base";"Kautokeino";"Norway";"\N";"ENKA";69.0403;23.034;1165
10089;"Lille/Marcq-en-Baroeul Airport";"Marcq En Baroeul";"France";"\N";"LFQO";50.6872;3.07556;69
10096;"Kawass Airport";"Kamsar";"Guinea";"\N";"GUKR";10.651;-14.5336;36
10102;"Stinson Municipal Airport";"Stinson";"United States";"SSF";"KSSF";29.337;-98.4711;577
10103;"Sallisaw Municipal Airport";"Sallisaw";"United States";"JSV";"KJSV";35.4382;-94.8028;527
10104;"Jasper County Airport-Bell Field";"Jasper";"United States";"JAS";"KJAS";30.8857;-94.0349;213
10105;"El Dorado Springs Memorial Airport";"El dorado springs";"United States";"87K";"K87K";37.8567;-93.9991;931
10106;"Marfa Municipal Airport";"Marfa";"United States";"MRF";"KMRF";30.3711;-104.018;4849
10107;"Alpine Casparis Municipal Airport";"Alpine";"United States";"E38";"KE38";30.3842;-103.684;4515
10110;"Bubaque Airport";"Bubaque";"Guinea-Bissau";"BQE";"GGBU";11.2974;-15.8381;0
10114;"Chichen Itza International Airport";"Chichen Itza";"Mexico";"CZA";"MMCT";20.6413;-88.4462;102
10116;"Bunbury Airport";"Bunbury";"Australia";"BUY";"YBUN";-33.3783;115.677;53
10117;"Cable Airport";"Upland";"United States";"CCB";"KCCB";34.1116;-117.688;1444
10121;"Mount Sterling Montgomery County Airport";"Mount Sterling";"United States";"IOB";"KIOB";38.0581;-83.9796;1019
10122;"Elkhart Municipal Airport";"Elkhart";"United States";"EKI";"KEKM";41.7194;-86.0032;778
10123;"Nappanee Municipal Airport";"Nappanee ";"United States";"C03";"KC03";41.4462;-85.9348;860
10128;"Jim Hamilton L.B. Owens Airport";"Columbia";"United States";"CUB";"KCUB";33.9705;-80.9952;193
10129;"Grove Municipal Airport";"Grove";"United States";"GMJ";"KGMJ";36.6068;-94.7386;831
10130;"Mc Pherson Airport";"Mc Pherson";"United States";"MPR";"KMPR";38.3524;-97.6913;1498
10131;"Donaldson Center Airport";"Greenville";"United States";"GYH";"KGYH";34.7583;-82.3764;955
10132;"Perry Houston County Airport";"Perry";"United States";"PXE";"KPXE";32.5106;-83.7673;418
10133;"Hartsville Regional Airport";"Hartsville";"United States";"HVS";"KHVS";34.4031;-80.1192;364
10134;"Horace Williams Airport";"Chapel Hill";"United States";"IGX";"KIGX";35.935;-79.0659;512
10135;"San Cristobal de las Casas Airport";"San Cristobal de las Casas";"Mexico";"SZT";"MMSC";16.6903;-92.5301;7707
10137;"Dunnville Airport";"Dunnville";"Canada";"DU9";"CDU9";42.8722;-79.5958;600
10138;"Brunswick County Airport";"Oak Island";"United States";"SUT";"KSUT";33.9293;-78.075;24
10139;"Chesterfield County Airport";"Richmond";"United States";"FCI";"KFCI";37.4065;-77.525;236
10140;"Atherton Airport";"Atherton";"Australia";"\N";"YATN";-17.2617;145.515;2450
10141;"Bagdarin Airport";"Bagdarin";"Russia";"\N";"UIUB";54.3692;113.479;3084
10142;"Scarlett Martinez International Airport";"Rio Hato";"Panama";"\N";"MPRH";8.37588;-80.1279;105
10144;"Henderson Oxford Airport";"Oxford";"United States";"HNZ";"KHNZ";36.3616;-78.5292;526
10145;"Leesburg International Airport";"Leesburg";"United States";"LEE";"KLEE";28.8231;-81.8087;76
10148;"Semyazino Airport";"Vladimir";"Russia";"\N";"UUBL";56.1267;40.315;554
10149;"Witberg Tswalu Airport";"Dedeben";"South Africa";"\N";"FATW";-27.205;22.4819;3921
10151;"Mana Pools Airport";"Mana Pools";"Zimbabwe";"\N";"FVMN";-15.767;29.383;1300
10154;"Pouso Alegre Airport";"Pouso Alegre";"Brazil";"PPY";"SNZA";-22.2892;-45.9191;2904
10155;"Brigadeiro Cabral Airport";"Divinopolis";"Brazil";"DIQ";"SNDV";-20.1807;-44.8709;2608
10156;"Yeysk Airport";"Eysk";"Russia";"\N";"URKE";46.68;38.21;60
10157;"Berdyansk Airport";"Berdyansk";"Ukraine";"ERD";"UKDB";46.815;36.7581;171
10160;"Erenhot Saiwusu International Airport";"Erenhot";"China";"ERL";"ZBER";43.4225;112.097;3301
10161;"Shobdon Aerodrome";"Shobdon";"United Kingdom";"\N";"EGBS";52.2417;-2.88111;318
10162;"Chino Airport";"Chino";"United States";"CNO";"KCNO";33.9747;-117.637;650
10163;"Kamigoto Airport";"Shin-kamigoto";"Japan";"\N";"RJDK";33.0131;129.192;263
10164;"Ojika Airport";"Odika";"Japan";"\N";"RJDO";33.1908;129.09;30
10165;"Chofu Airport";"Tokyo";"Japan";"\N";"RJTF";35.6717;139.528;141
10166;"Hateruma Airport";"Taketomi";"Japan";"HTR";"RORH";24.0589;123.806;43
10169;"Madison County Airport";"London";"United States";"UYF";"KUYF";39.9327;-83.462;1082
10171;"Las Brujas Airport";"Cayo Santa Maria";"Cuba";"BWW";"MUBR";22.6213;-79.1472;13
10173;"Digby (General Hospital) Heliport";"Tremblay-en-France";"France";"\N";"CDG2";44.6161;-65.7619;105
10178;"Thun Airport";"Thun";"Switzerland";"\N";"LSZW";46.7564;7.60056;1837
10184;"Lavrentiya Airport";"Lavrentiya";"Russia";"\N";"UHML";65.58;-170.997;30
10185;"Paso Robles Municipal Airport";"Paso Robles";"United States";"PRB";"KPRB";35.6729;-120.627;840
10186;"N 104 Helipad";"Ulleung";"South Korea";"\N";"RKDU";37.4792;130.896;476
10295;"Kymi Airport";"Kotka";"Finland";"\N";"EFKY";60.5714;26.8961;223
10360;"Half Moon Bay Airport";"Half Moon Bay";"United States";"HAF";"KHAF";37.5134;-122.501;66
10363;"Hechi Jinchengjiang Airport";"Hechi";"China";"HCJ";"ZGHC";24.805;107.7;2221
10370;"Kadina Airport";"Kadina";"Australia";"\N";"YKDI";-33.9767;137.66;42
10371;"General WM J Fox Airfield";"Lancaster";"United States";"WJF";"KWJF";34.7411;-118.219;2351
10378;"Coondewanna Airport";"Coondewanna";"Australia";"CJF";"YCWA";-22.9667;118.813;2300
10544;"Guarapari Airport";"Guarapari";"Brazil";"GUZ";"SNGA";-20.6465;-40.4919;28
10545;"Ubatuba Airport";"Ubatuba";"Brazil";"UBT";"SDUB";-23.4411;-45.0756;13
10611;"Ali Air Base";"Nasiriyah";"Iraq";"\N";"ORTL";30.9358;46.0901;20
10617;"Ota Air Base";"Ota";"Portugal";"\N";"LPOT";39.0875;-8.96278;140
10618;"Borroloola Airport";"Borroloola";"Australia";"BOX";"YBRL";-16.0753;136.302;55
10723;"Elsenthal Grafe Airport";"Elsenthal";"Germany";"\N";"EDNF";48.8225;13.3675;1417
10744;"Newtownards Airport";"Newtownards";"United Kingdom";"\N";"EGAD";54.5811;-5.69194;9
10745;"Lashenden (Headcorn) Airfield";"Headcorn";"United Kingdom";"\N";"EGKH";51.1569;0.641667;72
10746;"Panshanger Aerodrome";"Panshanger";"United Kingdom";"\N";"EGLG";51.8025;-0.158056;249
10747;"Thurrock Airfield";"Thurrock";"United Kingdom";"\N";"EGMT";51.5375;0.367634;20
10748;"Stapleford Aerodrome";"Stapleford";"United Kingdom";"\N";"EGSG";51.6525;0.155833;183
10750;"HAL Airport";"Bangalore";"India";"\N";"VOBG";12.95;77.6682;2912
10751;"Chichester/Goodwood Airport";"Goodwood";"United Kingdom";"\N";"EGHR";50.8594;-0.759167;98
10752;"Omarama Glider Airport";"Omarama";"New Zealand";"\N";"NZOA";-44.4867;169.986;1381
10753;"Haast Aerodrome";"Haast";"New Zealand";"\N";"NZHT";-43.8653;169.041;13
10776;"Meschede-Schüren Airport";"Meschede";"Germany";"\N";"EDKM";51.3028;8.23917;1434
10794;"Morro da Urca Heliport";"Rio de Janeiro";"Brazil";"\N";"SDHU";-22.9517;-43.1658;692
10800;"Dongji Aiport";"Fuyuan";"China";"FYJ";"ZYFY";48.1995;134.366;0
10802;"Skúvoy Heliport";"Skuvoy";"Faroe Islands";"\N";"EKSY";61.7696;-6.80341;70
